PlateID,PP#,ExpectedPeak1,ExpectedPeak2,Tollerance,Gene,FirstWell,LastWell,well#,PotentialPeak1_Search1_S,PotentialPeak1_Search1_H,PotentialPeak1_Search2_S,PotentialPeak1_Search2_H,PotentialPeak2_Search1_S,PotentialPeak2_Search1_H,PotentialPeak2_Search2_S,PotentialPeak2_Search2_H,HighestPeak_S,HighestPeak_S,HighestPeak_H,SecondHighestPeak_S,SecondHighestPeak_H,TotNumbPeaks
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F2,144.01,74.0,144.01,74.0,144.01,74.0,144.01,74.0,144.01,144.01,74.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E9,111.45,502.0,129.36,498.0,147.34,462.0,165.5,415.0,111.45,111.45,502.0,129.36,498.0,20
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A5,143.98,138.0,143.98,138.0,not found,1,not found,1,143.98,143.98,138.0,210.86,70.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C4,144.0,104.0,144.0,104.0,not found,1,not found,1,144.0,144.0,104.0,210.84,51.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D6,143.96,52.0,143.96,52.0,not found,1,not found,1,688.99,688.99,87.0,143.96,52.0,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E2,143.89,113.0,143.89,113.0,not found,1,not found,1,143.89,143.89,113.0,210.78,64.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B9,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A3,143.88,180.0,143.88,180.0,180.18,55.0,180.18,55.0,143.88,143.88,180.0,210.84,111.0,5
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C3,143.94,58.0,143.94,58.0,not found,1,not found,1,143.94,143.94,58.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C1,143.83,80.0,143.83,80.0,not found,1,not found,1,143.83,143.83,80.0,278.95,55.0,4
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F7,143.94,72.0,143.94,72.0,not found,1,not found,1,143.94,143.94,72.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B4,143.92,144.0,143.92,144.0,not found,1,not found,1,143.92,143.92,144.0,210.74,104.0,4
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C6,143.99,83.0,143.99,83.0,not found,1,not found,1,143.99,143.99,83.0,210.84,54.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G5,143.97,88.0,143.97,88.0,not found,1,not found,1,143.97,143.97,88.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G6,143.92,93.0,143.92,93.0,not found,1,not found,1,143.92,143.92,93.0,210.84,58.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C9,143.91,50.0,143.91,50.0,not found,1,not found,1,143.91,143.91,50.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F6,143.94,141.0,143.94,141.0,not found,1,not found,1,143.94,143.94,141.0,210.91,95.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B6,144.02,57.0,144.02,57.0,144.02,57.0,144.02,57.0,144.02,144.02,57.0,690.0,50.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D12,143.96,62.0,143.96,62.0,not found,1,not found,1,143.96,143.96,62.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,H8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E4,143.9,66.0,143.9,66.0,not found,1,not found,1,688.75,688.75,68.0,143.9,66.0,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B12,143.92,50.0,143.92,50.0,not found,1,not found,1,143.92,143.92,50.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B5,144.02,63.0,144.02,63.0,144.02,63.0,144.02,63.0,689.05,689.05,72.0,144.02,63.0,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
